identifier,datetime,energy
1,10/04/21 00:00,0
2,10/04/21 00:00,0
1,10/04/21 01:00,0
2,10/04/21 01:00,0
1,10/04/21 02:00,0
2,10/04/21 02:00,0
1,10/04/21 03:00,0
2,10/04/21 03:00,0
1,10/04/21 04:00,0
2,10/04/21 04:00,0
1,10/04/21 05:00,0
2,10/04/21 05:00,0
1,10/04/21 06:00,343
2,10/04/21 06:00,4494
1,10/04/21 07:00,2174
2,10/04/21 07:00,26875
1,10/04/21 08:00,5066
2,10/04/21 08:00,48084
1,10/04/21 09:00,8592
2,10/04/21 09:00,62493
1,10/04/21 10:00,10865
2,10/04/21 10:00,70974
1,10/04/21 11:00,12211
2,10/04/21 11:00,73451
1,10/04/21 12:00,12529
2,10/04/21 12:00,71831
1,10/04/21 13:00,12181
2,10/04/21 13:00,66019
1,10/04/21 14:00,10825
2,10/04/21 14:00,56844
1,10/04/21 15:00,8168
2,10/04/21 15:00,42351
1,10/04/21 16:00,4582
2,10/04/21 16:00,24642
1,10/04/21 17:00,1745
2,10/04/21 17:00,8911
1,10/04/21 18:00,287
2,10/04/21 18:00,3311
1,10/04/21 19:00,9
2,10/04/21 19:00,1262
1,10/04/21 20:00,0
2,10/04/21 20:00,0
1,10/04/21 21:00,0
2,10/04/21 21:00,0
1,10/04/21 22:00,0
2,10/04/21 22:00,0
1,10/04/21 23:00,0
2,10/04/21 23:00,0
